key,EN,CS,RU,DE,ES,PT,FR,IT,SK,PL,SR,HR,RO
gender,Gender,Pohlaví,Пол,Geschlecht,Género,Género,Le sexe,Genere,Pohlavie,Płeć,Pol,Spol,Sex
hair,Hair,Vlasy,Волосы,Haar,Cabello,Cabelo,cheveux,Capelli,Vlasy,Włosy,Kosa,Kosa,Par
skin,Skin tone,Barva pleti,Цвет кожи,Hautfarbe,Tono de la piel,Tom de pele,Teint,Il tono della pelle,Farba pleti,Kolor skóry,Boja kože,Boja kože,Culoarea pielii
face_smiling,Smiling smileys,Usměvaví smajlíci,Улыбающиеся смайлики,lächelnde Smilies,Emoticonos sonrientes,Emojis Sorridentes,Emoji souriants,Faccine sorridenti,Usmievavý smajlíci,Uśmiechnięte buźki,Nasmešeni smajlići,Nasmiješeni smajlići,Zambete zambitoare
face_affection,In love smileys,Zamilovaní smajlíci,Влюбленные смайлики,Liebes- Smilies,Emoticonos enamorados,Emojis apaixonados,Emojis passionnés,Faccine innamorate,Zamilovaný smajlíci,Zakochane buźki,Zaljubljeni smajlići,Zaljubljeni smajlići,Zambete Indragostit
face_tongue,Smileys with tongue,Smajlíci s jazykem,Смайлики с языком,Smilies mit Zunge,Emoticonos con lengua,Emojis com a língua,Emoji de la langue,Faccine con la lingua,Smajlíci s jazykom,Buźki z językiem,Smajlići sa jezikom,Smajlići sa jezikom,Zambete cu limba
face_hand,Smileys with hand,Smajlíci s rukou,Смайлики с рукой,Smilies mit Handzeichen,Emoticonos con mano,Emojis com mão,Emojiavec main,Faccine con la mano,Smajlíci s rukou,Buźki z dłonią,Smajlići sa rukama,Smajlići sa rukama,Zambete cu mana
face_neutral_skeptical,Skeptical smileys,Zamračení smajlíci,Недовольные смайлики,Skeptische Smilies,Emoticonos escépticos,Emojis céticos,Emojis sceptiques,Faccine scettiche,Zamračený smajlíci,Sceptyczne buźki,Skeptični smajlići,Skeptični smajlići,Zambete sceptice
face_sleepy,Sleepy smileys,Ospalí smajlíci,Сонные смайлики,Schlafende Smilies,Emoticonos soñolientos,Emojis Sonolentos,Emoji endormis,Faccine assonnate,Ospalý smajlíci ,Śpiące buźki,Uspavani smajlići,Uspavani smajlići,Zambete somnoroase
face_unwell,Sick smileys,Nemocní smajlíci,Болезненные смайлики,Kranke Smilies,Emoticonos enfermos,Emojis Enfermo,Emojis malades,Faccine malate,Chorý smajlíci,Chore buźki,Boležljivi smajlići,Boležljivi smajlići,Zambete bolnave
face_hat,Smileys with hat,Smajlíci s kloboukem,Смайлики в шляпе,Smilies mit Hut,Emoticonos con sombrero,Emojis com chapéu,Emoji avec chapeau,Faccine con cappello,Smajlíci s klobúkom,Buźki z kapeluszem,Smajlići sa šeširom,Smajlići sa šeširom,Zambete cu palarie
face_glasses,Smileys with glasses,Smajlíci s brýlemi,Смайлики в очках,Smilies mit Brillen,Emoticonos con gafas,Emojis com óculos,Emoji avec lunettes,Faccine con gli occhiali, Smajlíci s okuliarmi ,Buźki w okularach,Smajlići sa naočarima,Smajlići sa naočalama,Zambete cu ochelari
face_concerned,Concerned smileys,Ustaraní smajlíci,Взволнованные смайлики,Besorgte Smilies,Emoticonos preocupados,Emojis preocupados ,Emojis inquites,Faccine preoccupate,Ustaraný smajlíci,Zmartwione buźki,Zabrinuti smajlići,Zabrinuti smajlići,Zambete ingrijorate
face_negative,Angry smileys,Naštvaní smajlíci,Злобные смайлики,Wütende Smilies,Emoticonos enojados,Emojis zangados,Emojisen colère,Faccine arrabbiate,Nahnevaný smajlíci,Pogniewane buźki,Ljuti smajlići,Ljuti smajlići,Zambete nervoase
face_costume,Costumes,Kostýmy,Смалики в масках,Kostüme,Emoticonos enmascarados,Emojis mascarados,Emoji masqués,Faccine mascherate,Kostýmy,Kostiumy,Kostimi,Kostimi,Costume
cat_face,Cats,Kočky,Кошки,Katzen,Gatos,Gatos,Chats,Gatti,Mačky,Koty,Mačke,Mačke,Pisici
